Title,Year,Rotten Tomatoes Score,IMDb Rating,Production Cost(Adjusted for Inflation),Final Box Office Sales(Adjusted for Inflation)
Daddy's Home 2,2017,21%,6.0,$86050420.20,$225244861.59
Holmes & Watson,2018,10%,3.9,$51129685.75,$49263415.70
Bewitched,2005,24%,4.8,$133045238.10,$205713246.43
The LEGO Movie 2: The Second Part,2019,84%,6.6,$118375045.47,$238667051.65
The Other Guys,2010,79%,6.6,$140189217.45,$238965028.82
Anchorman: The Legend of Ron Burgundy,2004,66%,7.1,$42074992.06,$146792149.85
Zoolander,2001,65%,6.5,$45311529.91,$98359972.81
Kicking & Screaming,2005,41%,5.6,$70435714.29,$87763577.75
Semi-Pro,2008,23%,5.8,$78089970.88,$62478368.72
Get Hard,2015,28%,6.0,$51589717.19,$144079056.69
